Date,Hebrew Date,לימוד,חזרה
"Sun, Mar 10, 2024",ל׳ אדר א׳ ה׳תשפ״ד,,.ג Bottom
"Mon, Mar 11, 2024",א׳ אדר ב׳ ה׳תשפ״ד,.יג,:ג Top
"Tue, Mar 12, 2024",ב׳ אדר ב׳ ה׳תשפ״ד,,:ג Bottom
"Wed, Mar 13, 2024",ג׳ אדר ב׳ ה׳תשפ״ד,,.ד Top
"Thu, Mar 14, 2024",ד׳ אדר ב׳ ה׳תשפ״ד,,.ד Bottom
"Fri, Mar 15, 2024",ה׳ אדר ב׳ ה׳תשפ״ד,,:ד Top
"Sat, Mar 16, 2024",ו׳ אדר ב׳ ה׳תשפ״ד,,:ד Bottom
"Sun, Mar 17, 2024",ז׳ אדר ב׳ ה׳תשפ״ד,,.ה Top
"Mon, Mar 18, 2024",ח׳ אדר ב׳ ה׳תשפ״ד,:יג,.ה Bottom
"Tue, Mar 19, 2024",ט׳ אדר ב׳ ה׳תשפ״ד,,:ה Top
"Wed, Mar 20, 2024",י׳ אדר ב׳ ה׳תשפ״ד,,:ה Bottom
"Thu, Mar 21, 2024",י״א אדר ב׳ ה׳תשפ״ד,,.ו Top
"Fri, Mar 22, 2024",י״ב אדר ב׳ ה׳תשפ״ד,,.ו Bottom
"Sat, Mar 23, 2024",י״ג אדר ב׳ ה׳תשפ״ד,,:ו Top
"Sun, Mar 24, 2024",י״ד אדר ב׳ ה׳תשפ״ד,,:ו Bottom
"Mon, Mar 25, 2024",ט״ו אדר ב׳ ה׳תשפ״ד,.יד,OFF
"Tue, Mar 26, 2024",ט״ז אדר ב׳ ה׳תשפ״ד,,.ז Top
"Wed, Mar 27, 2024",י״ז אדר ב׳ ה׳תשפ״ד,,.ז Bottom
"Thu, Mar 28, 2024",י״ח אדר ב׳ ה׳תשפ״ד,,:ז Top
"Fri, Mar 29, 2024",י״ט אדר ב׳ ה׳תשפ״ד,,.ז Bottom
"Sat, Mar 30, 2024",כ׳ אדר ב׳ ה׳תשפ״ד,,:ח Top
"Sun, Mar 31, 2024",כ״א אדר ב׳ ה׳תשפ״ד,,:ח Bottom
"Mon, Apr 1, 2024",כ״ב אדר ב׳ ה׳תשפ״ד,:יד,.ח Top
"Tue, Apr 2, 2024",כ״ג אדר ב׳ ה׳תשפ״ד,,.ח Bottom
"Wed, Apr 3, 2024",כ״ד אדר ב׳ ה׳תשפ״ד,,:ט Top
"Thu, Apr 4, 2024",כ״ה אדר ב׳ ה׳תשפ״ד,,:ט Bottom
"Fri, Apr 5, 2024",כ״ו אדר ב׳ ה׳תשפ״ד,,.ט Top
"Sat, Apr 6, 2024",כ״ז אדר ב׳ ה׳תשפ״ד,,.ט Bottom
"Sun, Apr 7, 2024",כ״ח אדר ב׳ ה׳תשפ״ד,,:י Top
"Mon, Apr 8, 2024",כ״ט אדר ב׳ ה׳תשפ״ד,.טו,:י Bottom
"Tue, Apr 9, 2024",א׳ ניסן ה׳תשפ״ד,,.י Top
"Wed, Apr 10, 2024",ב׳ ניסן ה׳תשפ״ד,,.י Bottom
"Thu, Apr 11, 2024",ג׳ ניסן ה׳תשפ״ד,,:יא Top
"Fri, Apr 12, 2024",ד׳ ניסן ה׳תשפ״ד,,:יא Bottom
"Sat, Apr 13, 2024",ה׳ ניסן ה׳תשפ״ד,,.יא Top
"Sun, Apr 14, 2024",ו׳ ניסן ה׳תשפ״ד,,.יא Bottom
"Mon, Apr 15, 2024",ז׳ ניסן ה׳תשפ״ד,:טו,:יב Top
"Tue, Apr 16, 2024",ח׳ ניסן ה׳תשפ״ד,,:יב Bottom
"Wed, Apr 17, 2024",ט׳ ניסן ה׳תשפ״ד,,.יב Top
"Thu, Apr 18, 2024",י׳ ניסן ה׳תשפ״ד,,.יב Bottom
"Fri, Apr 19, 2024",י״א ניסן ה׳תשפ״ד,,:יג Top
"Sat, Apr 20, 2024",י״ב ניסן ה׳תשפ״ד,,:יג Bottom
"Sun, Apr 21, 2024",י״ג ניסן ה׳תשפ״ד,,:יג Top
"Mon, Apr 22, 2024",י״ד ניסן ה׳תשפ״ד,.טז,:יג Bottom
"Tue, Apr 23, 2024",ט״ו ניסן ה׳תשפ״ד,,.יד Top
"Wed, Apr 24, 2024",ט״ז ניסן ה׳תשפ״ד,,.יד Bottom
"Thu, Apr 25, 2024",י״ז ניסן ה׳תשפ״ד,,OFF
"Fri, Apr 26, 2024",י״ח ניסן ה׳תשפ״ד,,:יד Top
"Sat, Apr 27, 2024",י״ט ניסן ה׳תשפ״ד,,.יד Bottom
"Sun, Apr 28, 2024",כ׳ ניסן ה׳תשפ״ד,,:טו Top
"Mon, Apr 29, 2024",כ״א ניסן ה׳תשפ״ד,:טז,:טו Bottom
"Tue, Apr 30, 2024",כ״ב ניסן ה׳תשפ״ד,,.טו Top
"Wed, May 1, 2024",כ״ג ניסן ה׳תשפ״ד,,.טו Bottom
"Thu, May 2, 2024",כ״ד ניסן ה׳תשפ״ד,,.ב Top
"Fri, May 3, 2024",כ״ה ניסן ה׳תשפ״ד,,.ב Bottom
"Sat, May 4, 2024",כ״ו ניסן ה׳תשפ״ד,,:ב Top
"Sun, May 5, 2024",כ״ז ניסן ה׳תשפ״ד,,:ב Bottom
"Mon, May 6, 2024",כ״ח ניסן ה׳תשפ״ד,.יז,.ג Top
"Tue, May 7, 2024",כ״ט ניסן ה׳תשפ״ד,,.ג Bottom
"Wed, May 8, 2024",ל׳ ניסן ה׳תשפ״ד,,:ג Top
"Thu, May 9, 2024",א׳ אייר ה׳תשפ״ד,,:ג Bottom
"Fri, May 10, 2024",ב׳ אייר ה׳תשפ״ד,,.ד Top
"Sat, May 11, 2024",ג׳ אייר ה׳תשפ״ד,,.ד Bottom
"Sun, May 12, 2024",ד׳ אייר ה׳תשפ״ד,,:ד Top
"Mon, May 13, 2024",ה׳ אייר ה׳תשפ״ד,:יז,:ד Bottom
"Tue, May 14, 2024",ו׳ אייר ה׳תשפ״ד,,.ה Top
"Wed, May 15, 2024",ז׳ אייר ה׳תשפ״ד,,.ה Bottom
"Thu, May 16, 2024",ח׳ אייר ה׳תשפ״ד,,:ה Top
"Fri, May 17, 2024",ט׳ אייר ה׳תשפ״ד,,:ה Bottom
"Sat, May 18, 2024",י׳ אייר ה׳תשפ״ד,,.ו Top
"Sun, May 19, 2024",י״א אייר ה׳תשפ״ד,,.ו Bottom
"Mon, May 20, 2024",י״ב אייר ה׳תשפ״ד,.יח,:ו Top
"Tue, May 21, 2024",י״ג אייר ה׳תשפ״ד,,:ו Bottom
"Wed, May 22, 2024",י״ד אייר ה׳תשפ״ד,,.ז Top
"Thu, May 23, 2024",ט״ו אייר ה׳תשפ״ד,,.ז Bottom
"Fri, May 24, 2024",ט״ז אייר ה׳תשפ״ד,,:ז Top
"Sat, May 25, 2024",י״ז אייר ה׳תשפ״ד,,OFF
"Sun, May 26, 2024",י״ח אייר ה׳תשפ״ד,,.ז Bottom
"Mon, May 27, 2024",י״ט אייר ה׳תשפ״ד,:יח,:ח Top
"Tue, May 28, 2024",כ׳ אייר ה׳תשפ״ד,,:ח Bottom
"Wed, May 29, 2024",כ״א אייר ה׳תשפ״ד,,.ח Top
"Thu, May 30, 2024",כ״ב אייר ה׳תשפ״ד,,.ח Bottom
