Date,Hebrew Date,לימוד,חזרה
"Fri, Jan 12, 2024",ב׳ שבט ה׳תשפ״ד,,.ז Bottom
"Sat, Jan 13, 2024",ג׳ שבט ה׳תשפ״ד,,:ח Top
"Sun, Jan 14, 2024",ד׳ שבט ה׳תשפ״ד,,:ח Bottom
"Mon, Jan 15, 2024",ה׳ שבט ה׳תשפ״ד,:ט,OFF
"Tue, Jan 16, 2024",ו׳ שבט ה׳תשפ״ד,,.ח Top
"Wed, Jan 17, 2024",ז׳ שבט ה׳תשפ״ד,,.ח Bottom
"Thu, Jan 18, 2024",ח׳ שבט ה׳תשפ״ד,,.ב Top
"Fri, Jan 19, 2024",ט׳ שבט ה׳תשפ״ד,,.ב Bottom
"Sat, Jan 20, 2024",י׳ שבט ה׳תשפ״ד,,:ב Top
"Sun, Jan 21, 2024",י״א שבט ה׳תשפ״ד,,:ב Bottom
"Mon, Jan 22, 2024",י״ב שבט ה׳תשפ״ד,.י,.ג Top
"Tue, Jan 23, 2024",י״ג שבט ה׳תשפ״ד,,.ג Bottom
"Wed, Jan 24, 2024",י״ד שבט ה׳תשפ״ד,,:ג Top
"Thu, Jan 25, 2024",ט״ו שבט ה׳תשפ״ד,,:ג Bottom
"Fri, Jan 26, 2024",ט״ז שבט ה׳תשפ״ד,,.ד Top
"Sat, Jan 27, 2024",י״ז שבט ה׳תשפ״ד,,.ד Bottom
"Sun, Jan 28, 2024",י״ח שבט ה׳תשפ״ד,,:ד Top
"Mon, Jan 29, 2024",י״ט שבט ה׳תשפ״ד,:י,:ד Bottom
"Tue, Jan 30, 2024",כ׳ שבט ה׳תשפ״ד,,.ה Top
"Wed, Jan 31, 2024",כ״א שבט ה׳תשפ״ד,,.ה Bottom
"Thu, Feb 1, 2024",כ״ב שבט ה׳תשפ״ד,,:ה Top
"Fri, Feb 2, 2024",כ״ג שבט ה׳תשפ״ד,,:ה Bottom
"Sat, Feb 3, 2024",כ״ד שבט ה׳תשפ״ד,,.ו Top
"Sun, Feb 4, 2024",כ״ה שבט ה׳תשפ״ד,,.ו Bottom
"Mon, Feb 5, 2024",כ״ו שבט ה׳תשפ״ד,.יא,:ו Top
"Tue, Feb 6, 2024",כ״ז שבט ה׳תשפ״ד,,:ו Bottom
"Wed, Feb 7, 2024",כ״ח שבט ה׳תשפ״ד,,.ז Top
"Thu, Feb 8, 2024",כ״ט שבט ה׳תשפ״ד,,.ז Bottom
"Fri, Feb 9, 2024",ל׳ שבט ה׳תשפ״ד,,:ז Top
"Sat, Feb 10, 2024",א׳ אדר א׳ ה׳תשפ״ד,,.ז Bottom
"Sun, Feb 11, 2024",ב׳ אדר א׳ ה׳תשפ״ד,,:ח Top
"Mon, Feb 12, 2024",ג׳ אדר א׳ ה׳תשפ״ד,:יא,:ח Bottom
"Tue, Feb 13, 2024",ד׳ אדר א׳ ה׳תשפ״ד,,.ח Top
"Wed, Feb 14, 2024",ה׳ אדר א׳ ה׳תשפ״ד,,.ח Bottom
"Thu, Feb 15, 2024",ו׳ אדר א׳ ה׳תשפ״ד,,OFF
"Fri, Feb 16, 2024",ז׳ אדר א׳ ה׳תשפ״ד,,:ט Top
"Sat, Feb 17, 2024",ח׳ אדר א׳ ה׳תשפ״ד,,:ט Bottom
"Sun, Feb 18, 2024",ט׳ אדר א׳ ה׳תשפ״ד,,.ט Top
"Mon, Feb 19, 2024",י׳ אדר א׳ ה׳תשפ״ד,.יב,.ט Bottom
"Tue, Feb 20, 2024",י״א אדר א׳ ה׳תשפ״ד,,:י Top
"Wed, Feb 21, 2024",י״ב אדר א׳ ה׳תשפ״ד,,:י Bottom
"Thu, Feb 22, 2024",י״ג אדר א׳ ה׳תשפ״ד,,.י Top
"Fri, Feb 23, 2024",י״ד אדר א׳ ה׳תשפ״ד,,.י Bottom
"Sat, Feb 24, 2024",ט״ו אדר א׳ ה׳תשפ״ד,,:יא Top
"Sun, Feb 25, 2024",ט״ז אדר א׳ ה׳תשפ״ד,,:יא Bottom
"Mon, Feb 26, 2024",י״ז אדר א׳ ה׳תשפ״ד,:יב,.יא Top
"Tue, Feb 27, 2024",י״ח אדר א׳ ה׳תשפ״ד,,.יא Bottom
"Wed, Feb 28, 2024",י״ט אדר א׳ ה׳תשפ״ד,,.ב Top
"Thu, Feb 29, 2024",כ׳ אדר א׳ ה׳תשפ״ד,,.ב Bottom
"Fri, Mar 1, 2024",כ״א אדר א׳ ה׳תשפ״ד,,:ב Top
"Sat, Mar 2, 2024",כ״ב אדר א׳ ה׳תשפ״ד,,:ב Bottom
"Sun, Mar 3, 2024",כ״ג אדר א׳ ה׳תשפ״ד,,.ג Top
"Mon, Mar 4, 2024",כ״ד אדר א׳ ה׳תשפ״ד,.יג,.ג Bottom
"Tue, Mar 5, 2024",כ״ה אדר א׳ ה׳תשפ״ד,,:ג Top
"Wed, Mar 6, 2024",כ״ו אדר א׳ ה׳תשפ״ד,,:ג Bottom
"Thu, Mar 7, 2024",כ״ז אדר א׳ ה׳תשפ״ד,,.ד Top
"Fri, Mar 8, 2024",כ״ח אדר א׳ ה׳תשפ״ד,,.ד Bottom
"Sat, Mar 9, 2024",כ״ט אדר א׳ ה׳תשפ״ד,,:ד Top
"Sun, Mar 10, 2024",ל׳ אדר א׳ ה׳תשפ״ד,,:ד Bottom
"Mon, Mar 11, 2024",א׳ אדר ב׳ ה׳תשפ״ד,:יג,.ה Top
"Tue, Mar 12, 2024",ב׳ אדר ב׳ ה׳תשפ״ד,,.ה Bottom
"Wed, Mar 13, 2024",ג׳ אדר ב׳ ה׳תשפ״ד,,:ה Top
"Thu, Mar 14, 2024",ד׳ אדר ב׳ ה׳תשפ״ד,,:ה Bottom
"Fri, Mar 15, 2024",ה׳ אדר ב׳ ה׳תשפ״ד,,.ו Top
"Sat, Mar 16, 2024",ו׳ אדר ב׳ ה׳תשפ״ד,,.ו Bottom
"Sun, Mar 17, 2024",ז׳ אדר ב׳ ה׳תשפ״ד,,:ו Top
"Mon, Mar 18, 2024",ח׳ אדר ב׳ ה׳תשפ״ד,.יד,:ו Bottom
"Tue, Mar 19, 2024",ט׳ אדר ב׳ ה׳תשפ״ד,,.ז Top
"Wed, Mar 20, 2024",י׳ אדר ב׳ ה׳תשפ״ד,,.ז Bottom
"Thu, Mar 21, 2024",י״א אדר ב׳ ה׳תשפ״ד,,:ז Top
"Fri, Mar 22, 2024",י״ב אדר ב׳ ה׳תשפ״ד,,.ז Bottom
"Sat, Mar 23, 2024",י״ג אדר ב׳ ה׳תשפ״ד,,:ח Top
"Sun, Mar 24, 2024",י״ד אדר ב׳ ה׳תשפ״ד,,:ח Bottom
"Mon, Mar 25, 2024",ט״ו אדר ב׳ ה׳תשפ״ד,:יד,OFF
"Tue, Mar 26, 2024",ט״ז אדר ב׳ ה׳תשפ״ד,,.ח Top
"Wed, Mar 27, 2024",י״ז אדר ב׳ ה׳תשפ״ד,,.ח Bottom
"Thu, Mar 28, 2024",י״ח אדר ב׳ ה׳תשפ״ד,,:ט Top
"Fri, Mar 29, 2024",י״ט אדר ב׳ ה׳תשפ״ד,,:ט Bottom
"Sat, Mar 30, 2024",כ׳ אדר ב׳ ה׳תשפ״ד,,.ט Top
"Sun, Mar 31, 2024",כ״א אדר ב׳ ה׳תשפ״ד,,.ט Bottom
"Mon, Apr 1, 2024",כ״ב אדר ב׳ ה׳תשפ״ד,.טו,:י Top
"Tue, Apr 2, 2024",כ״ג אדר ב׳ ה׳תשפ״ד,,:י Bottom
"Wed, Apr 3, 2024",כ״ד אדר ב׳ ה׳תשפ״ד,,.י Top
"Thu, Apr 4, 2024",כ״ה אדר ב׳ ה׳תשפ״ד,,.י Bottom
"Fri, Apr 5, 2024",כ״ו אדר ב׳ ה׳תשפ״ד,,:יא Top
"Sat, Apr 6, 2024",כ״ז אדר ב׳ ה׳תשפ״ד,,:יא Bottom
"Sun, Apr 7, 2024",כ״ח אדר ב׳ ה׳תשפ״ד,,.יא Top
"Mon, Apr 8, 2024",כ״ט אדר ב׳ ה׳תשפ״ד,:טו,.יא Bottom
"Tue, Apr 9, 2024",א׳ ניסן ה׳תשפ״ד,,:יב Top
"Wed, Apr 10, 2024",ב׳ ניסן ה׳תשפ״ד,,:יב Bottom
"Thu, Apr 11, 2024",ג׳ ניסן ה׳תשפ״ד,,.יב Top
"Fri, Apr 12, 2024",ד׳ ניסן ה׳תשפ״ד,,.יב Bottom
"Sat, Apr 13, 2024",ה׳ ניסן ה׳תשפ״ד,,:יג Top
"Sun, Apr 14, 2024",ו׳ ניסן ה׳תשפ״ד,,:יג Bottom
"Mon, Apr 15, 2024",ז׳ ניסן ה׳תשפ״ד,.טז,:יג Top
"Tue, Apr 16, 2024",ח׳ ניסן ה׳תשפ״ד,,:יג Bottom
"Wed, Apr 17, 2024",ט׳ ניסן ה׳תשפ״ד,,.יד Top
"Thu, Apr 18, 2024",י׳ ניסן ה׳תשפ״ד,,.יד Bottom
"Fri, Apr 19, 2024",י״א ניסן ה׳תשפ״ד,,:יד Top
"Sat, Apr 20, 2024",י״ב ניסן ה׳תשפ״ד,,.יד Bottom
"Sun, Apr 21, 2024",י״ג ניסן ה׳תשפ״ד,,:טו Top
"Mon, Apr 22, 2024",י״ד ניסן ה׳תשפ״ד,:טז,:טו Bottom
"Tue, Apr 23, 2024",ט״ו ניסן ה׳תשפ״ד,,.טו Top
"Wed, Apr 24, 2024",ט״ז ניסן ה׳תשפ״ד,,.טו Bottom
"Thu, Apr 25, 2024",י״ז ניסן ה׳תשפ״ד,,OFF
"Fri, Apr 26, 2024",י״ח ניסן ה׳תשפ״ד,,.ב Top
"Sat, Apr 27, 2024",י״ט ניסן ה׳תשפ״ד,,.ב Bottom
"Sun, Apr 28, 2024",כ׳ ניסן ה׳תשפ״ד,,:ב Top
"Mon, Apr 29, 2024",כ״א ניסן ה׳תשפ״ד,.יז,:ב Bottom
"Tue, Apr 30, 2024",כ״ב ניסן ה׳תשפ״ד,,.ג Top
"Wed, May 1, 2024",כ״ג ניסן ה׳תשפ״ד,,.ג Bottom
"Thu, May 2, 2024",כ״ד ניסן ה׳תשפ״ד,,:ג Top
"Fri, May 3, 2024",כ״ה ניסן ה׳תשפ״ד,,:ג Bottom
"Sat, May 4, 2024",כ״ו ניסן ה׳תשפ״ד,,.ד Top
"Sun, May 5, 2024",כ״ז ניסן ה׳תשפ״ד,,.ד Bottom
"Mon, May 6, 2024",כ״ח ניסן ה׳תשפ״ד,:יז,:ד Top
"Tue, May 7, 2024",כ״ט ניסן ה׳תשפ״ד,,:ד Bottom
"Wed, May 8, 2024",ל׳ ניסן ה׳תשפ״ד,,.ה Top
"Thu, May 9, 2024",א׳ אייר ה׳תשפ״ד,,.ה Bottom
"Fri, May 10, 2024",ב׳ אייר ה׳תשפ״ד,,:ה Top
"Sat, May 11, 2024",ג׳ אייר ה׳תשפ״ד,,:ה Bottom
"Sun, May 12, 2024",ד׳ אייר ה׳תשפ״ד,,.ו Top
"Mon, May 13, 2024",ה׳ אייר ה׳תשפ״ד,.יח,.ו Bottom
"Tue, May 14, 2024",ו׳ אייר ה׳תשפ״ד,,:ו Top
"Wed, May 15, 2024",ז׳ אייר ה׳תשפ״ד,,:ו Bottom
"Thu, May 16, 2024",ח׳ אייר ה׳תשפ״ד,,.ז Top
"Fri, May 17, 2024",ט׳ אייר ה׳תשפ״ד,,.ז Bottom
"Sat, May 18, 2024",י׳ אייר ה׳תשפ״ד,,:ז Top
"Sun, May 19, 2024",י״א אייר ה׳תשפ״ד,,.ז Bottom
"Mon, May 20, 2024",י״ב אייר ה׳תשפ״ד,:יח,:ח Top
"Tue, May 21, 2024",י״ג אייר ה׳תשפ״ד,,:ח Bottom
"Wed, May 22, 2024",י״ד אייר ה׳תשפ״ד,,.ח Top
"Thu, May 23, 2024",ט״ו אייר ה׳תשפ״ד,,.ח Bottom
"Fri, May 24, 2024",ט״ז אייר ה׳תשפ״ד,,:ט Top
